ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12802138,JF366484,8/18/2022 18:00,062XX N FRANCISCO AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2413,24,50,2,6,1155876,1941327,2022,1/3/2023 15:46,41.99479792,-87.70197349,"(41.994797921, -87.701973488)"
12798144,JF361428,8/18/2022 14:25,018XX W CARROLL AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1223,12,27,28,6,1164110,1902374,2022,1/3/2023 15:46,41.88773822,-87.67278914,"(41.887738223, -87.672789142)"
12799371,JF362228,8/18/2022 9:19,011XX N CLARK ST,860,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,1824,18,2,8,6,1175324,1908199,2022,1/3/2023 15:46,41.90347807,-87.6314331,"(41.903478069, -87.631433102)"
12798111,JF361551,8/18/2022 8:00,003XX W ONTARIO ST,810,THEFT,OVER $500,RESIDENCE - GARAGE,FALSE,FALSE,1831,18,42,8,6,1174093,1904430,2022,1/3/2023 15:46,41.89316328,-87.63606731,"(41.893163281, -87.636067309)"
12797709,JF360971,8/18/2022 6:00,012XX N DEARBORN ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1824,18,2,8,6,1175705,1908745,2022,1/3/2023 15:46,41.90496776,-87.63001718,"(41.904967755, -87.630017177)"
12796933,JF360155,8/17/2022 7:00,001XX E 42ND ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,213,2,3,38,6,1177979,1877198,2022,1/3/2023 15:46,41.81834934,-87.62262346,"(41.81834934, -87.622623461)"
12796489,JF359613,8/17/2022 2:00,039XX W OGDEN AVE,460,BATTERY,SIMPLE,GAS STATION,FALSE,FALSE,1013,10,22,29,08B,1150286,1889027,2022,1/3/2023 15:46,41.85139331,-87.72390352,"(41.851393305, -87.723903515)"
12796098,JF359198,8/16/2022 17:20,033XX W ROOSEVELT RD,560,ASSAULT,SIMPLE,RESTAURANT,TRUE,FALSE,1134,11,24,29,08A,1154087,1894508,2022,1/3/2023 15:46,41.86635892,-87.70980676,"(41.866358918, -87.709806763)"
12795972,JF359058,8/16/2022 16:10,015XX S HALSTED ST,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,1232,12,11,28,6,1171290,1892413,2022,1/3/2023 15:46,41.86024984,-87.64671467,"(41.860249838, -87.64671467)"
12796316,JF358737,8/16/2022 11:57,012XX N LA SALLE DR,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1821,18,2,8,08B,1174910,1908582,2022,1/3/2023 15:46,41.90453833,-87.63294231,"(41.904538325, -87.632942313)"
12796957,JF360022,8/16/2022 0:22,106XX S AVENUE J,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,432,4,10,52,6,1202508,1835066,2022,1/3/2023 15:46,41.70214483,-87.53408086,"(41.702144829, -87.534080858)"
12795474,JF358356,8/15/2022 22:00,061XX S PARK SHORE EAST CT,810,THEFT,OVER $500,STREET,FALSE,FALSE,314,3,5,42,6,1187557,1864569,2022,1/3/2023 15:46,41.7834717,-87.5878904,"(41.783471704, -87.587890396)"
12796135,JF359082,8/15/2022 21:14,048XX S KARLOV AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,815,8,14,57,08A,1149844,1872244,2022,1/3/2023 15:46,41.80534707,-87.72596126,"(41.805347066, -87.725961264)"
12795034,JF357930,8/15/2022 17:20,043XX N SHERIDAN RD,870,THEFT,POCKET-PICKING,CTA BUS,FALSE,FALSE,1915,19,46,3,6,1168824,1928870,2022,1/3/2023 15:46,41.96034375,-87.65470787,"(41.960343749, -87.654707869)"
12796817,JF359932,8/15/2022 15:00,075XX S PHILLIPS AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,421,4,7,43,6,1193842,1855434,2022,1/3/2023 15:46,41.75825279,-87.565147,"(41.758252785, -87.565147001)"
12794776,JF357662,8/15/2022 13:30,107XX S WABASH AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,513,5,9,49,6,1178481,1833692,2022,1/3/2023 15:46,41.6989526,-87.62210143,"(41.698952603, -87.622101432)"
12795548,JF357494,8/15/2022 9:00,079XX S INGLESIDE AVE,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,624,6,8,44,08A,1183939,1852562,2022,1/3/2023 15:46,41.75060865,-87.6015296,"(41.750608654, -87.601529598)"
12794623,JF357276,8/15/2022 0:00,048XX W ROSCOE ST,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1634,16,31,15,08B,1143546,1922168,2022,1/3/2023 15:46,41.9424646,-87.74781107,"(41.942464596, -87.747811074)"
12794517,JF357285,8/14/2022 22:00,015XX W POLK ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1231,12,28,28,6,1166346,1896530,2022,1/3/2023 15:46,41.8716543,-87.66474505,"(41.871654302, -87.664745051)"
12794155,JF356683,8/14/2022 16:57,050XX W BELDEN AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,FALSE,FALSE,2522,25,36,19,04B,1142223,1914820,2022,1/3/2023 15:46,41.92232565,-87.75285662,"(41.922325648, -87.75285662)"
12793767,JF356490,8/14/2022 13:45,017XX W HOWARD ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,2422,24,49,1,6,1163126,1950347,2022,1/3/2023 15:46,42.01939924,-87.67504949,"(42.019399237, -87.675049485)"
12821561,JF389224,8/14/2022 9:00,015XX N DAMEN AVE,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1424,14,1,24,6,1162779,1910435,2022,1/3/2023 15:46,41.90988624,-87.67745068,"(41.909886237, -87.677450678)"
12796022,JF358997,8/14/2022 1:30,011XX W 18TH ST,320,ROBBERY,STRONG ARM - NO WEAPON,STREET,FALSE,FALSE,1235,12,25,31,3,1168936,1891564,2022,1/3/2023 15:46,41.85797145,-87.65538016,"(41.857971446, -87.65538016)"
12793487,JF356155,8/14/2022 0:00,017XX W 85TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,614,6,21,71,6,1166408,1848334,2022,1/3/2023 15:46,41.73939763,-87.66589153,"(41.739397628, -87.665891529)"
