ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12869588,JF446813,10/24/2022 7:30,027XX N LAVERGNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2521,25,31,19,14,1142589,1917589,2022,1/3/2023 15:46,41.92991726,-87.75144277,"(41.92991726, -87.751442765)"
12868639,JF445556,10/23/2022 7:00,007XX E OAKWOOD BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,FALSE,FALSE,214,2,4,38,3,1181936,1878827,2022,1/3/2023 15:46,41.82272871,-87.60805757,"(41.822728708, -87.608057569)"
12866235,JF442859,10/20/2022 20:30,072XX S EUCLID AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,333,3,5,43,6,1190299,1857192,2022,1/3/2023 15:46,41.76316297,-87.57807497,"(41.763162968, -87.578074968)"
12864270,JF439726,10/18/2022 19:00,062XX N WASHTENAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,2413,24,50,2,14,1157200,1941313,2022,1/3/2023 15:46,41.99473262,-87.69710357,"(41.994732615, -87.697103566)"
12861561,JF437287,10/16/2022 22:33,019XX E 71ST PL,1025,ARSON,AGGRAVATED,APARTMENT,FALSE,TRUE,333,3,5,43,9,1190562,1857968,2022,1/3/2023 15:46,41.76528604,-87.57708604,"(41.765286035, -87.577086035)"
12861396,JF437270,10/16/2022 19:30,015XX N WELLS ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1821,18,27,8,6,1174423,1910556,2022,1/3/2023 15:46,41.90996597,-87.63467212,"(41.909965973, -87.634672123)"
12861260,JF436926,10/16/2022 16:00,022XX S SPAULDING AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1024,10,12,30,08A,1154709,1888974,2022,1/3/2023 15:46,41.85116058,-87.70767138,"(41.851160581, -87.707671375)"
12860991,JF436780,10/16/2022 13:33,075XX N PAULINA ST,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,2422,24,49,1,08B,1163690,1950023,2022,1/3/2023 15:46,42.01849825,-87.67298323,"(42.018498254, -87.672983233)"
12860643,JF436398,10/16/2022 7:10,002XX S PEORIA ST,560,ASSAULT,SIMPLE,OTHER (SPECIFY),FALSE,FALSE,1232,12,25,28,08A,1170448,1899179,2022,1/3/2023 15:46,41.87883469,-87.6496076,"(41.878834687, -87.649607595)"
12860757,JF436417,10/16/2022 3:45,0000X W ILLINOIS ST,460,BATTERY,SIMPLE,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,08B,1175702,1903591,2022,1/3/2023 15:46,41.89082499,-87.63018336,"(41.890824988, -87.630183362)"
12860629,JF436281,10/16/2022 3:00,002XX W VAN BUREN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,TRUE,FALSE,122,1,25,32,14,1174617,1898485,2022,1/3/2023 15:46,41.87683815,-87.63432072,"(41.87683815, -87.634320718)"
12860753,JF436524,10/15/2022 23:30,006XX W 43RD PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,925,9,11,61,7,1172616,1876053,2022,1/3/2023 15:46,41.81532739,-87.64233042,"(41.815327389, -87.64233042)"
12860946,JF436718,10/15/2022 19:00,085XX W RASCHER AVE,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1614,16,41,76,6,1118367,1935083,2022,1/3/2023 15:46,41.97833963,-87.84008434,"(41.978339634, -87.840084335)"
12860312,JF435846,10/15/2022 17:23,026XX W 71ST ST,820,THEFT,$500 AND UNDER,STREET,FALSE,TRUE,831,8,17,66,6,1160018,1857470,2022,1/3/2023 15:46,41.76460183,-87.6890529,"(41.764601825, -87.689052902)"
12860180,JF435758,10/15/2022 16:14,055XX W LAWRENCE AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1623,16,45,15,08A,1138658,1931370,2022,1/3/2023 15:46,41.96780597,-87.76555289,"(41.967805972, -87.765552886)"
12861571,JF437484,10/15/2022 16:00,041XX W 21ST PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1012,10,24,29,14,1149100,1889435,2022,1/3/2023 15:46,41.85253592,-87.7282459,"(41.852535923, -87.728245903)"
12872593,JF450597,10/15/2022 13:15,070XX S DANTE AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,332,3,5,43,08B,1187181,1858399,2022,1/3/2023 15:46,41.76654964,-87.58946459,"(41.76654964, -87.589464588)"
12859759,JF435296,10/15/2022 9:30,041XX W GLADYS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1132,11,28,26,14,1148826,1898033,2022,1/3/2023 15:46,41.87613517,-87.72902944,"(41.876135165, -87.72902944)"
12859792,JF435209,10/15/2022 8:40,008XX W WELLINGTON AVE,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,1933,19,44,6,08A,1169981,1920130,2022,1/3/2023 15:46,41.93633564,-87.65071012,"(41.936335635, -87.650710119)"
12859659,JF435118,10/15/2022 4:50,011XX N SPRINGFIELD AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1112,11,37,23,08B,1150174,1907391,2022,1/3/2023 15:46,41.90178836,-87.72383596,"(41.901788359, -87.723835955)"
12859657,JF435094,10/15/2022 3:30,006XX N CLARK ST,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,1832,18,42,8,08B,1175432,1904246,2022,1/3/2023 15:46,41.89262841,-87.63115524,"(41.892628411, -87.63115524)"
12859718,JF435196,10/14/2022 23:30,009XX N LATROBE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,FALSE,FALSE,1524,15,37,25,7,1141189,1905665,2022,1/3/2023 15:46,41.89722244,-87.75688197,"(41.897222443, -87.756881969)"
12859713,JF435204,10/14/2022 20:30,022XX S WESTERN AVE,890,THEFT,FROM BUILDING,OTHER (SPECIFY),FALSE,FALSE,1034,10,28,31,6,1160721,1888891,2022,1/3/2023 15:46,41.8508105,-87.68560824,"(41.8508105, -87.685608239)"
12859325,JF434728,10/14/2022 18:38,057XX N SHERIDAN RD,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,2022,20,48,77,08B,1168598,1938218,2022,1/3/2023 15:46,41.98599984,-87.65526673,"(41.985999837, -87.655266727)"
12863586,JF439001,10/14/2022 18:12,030XX N AUSTIN AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,2514,25,30,19,6,1135862,1919571,2022,1/3/2023 15:46,41.9354787,-87.77611578,"(41.935478704, -87.776115776)"
12859655,JF434332,10/14/2022 13:00,028XX W DEVON AVE,320,ROBBERY,STRONG ARM - NO WEAPON,BANK,FALSE,FALSE,2413,24,50,2,3,1156420,1942336,2022,1/3/2023 15:46,41.99755564,-87.69994494,"(41.997555636, -87.699944941)"
12859746,JF434255,10/14/2022 12:00,012XX E 87TH ST,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,412,4,8,48,08A,1185956,1847546,2022,1/3/2023 15:46,41.73679692,-87.59429631,"(41.736796922, -87.594296314)"
12858754,JF433981,10/14/2022 7:30,049XX N FAIRFIELD AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2031,20,40,4,6,1157121,1932806,2022,1/3/2023 15:46,41.97139062,-87.69762642,"(41.971390616, -87.69762642)"
12858865,JF434105,10/14/2022 2:00,025XX W ARTHUR AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2412,24,50,2,6,1158039,1943047,2022,1/3/2023 15:46,41.99947363,-87.6939697,"(41.999473631, -87.693969703)"
12858619,JF433785,10/14/2022 1:16,010XX E 133RD ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,533,5,9,54,08A,1185877,1817276,2022,1/3/2023 15:46,41.65373409,-87.59553568,"(41.653734085, -87.59553568)"
12859575,JF433754,10/13/2022 23:53,070XX S CREGIER AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,332,3,5,43,08A,1189418,1858666,2022,1/3/2023 15:46,41.76722893,-87.58125671,"(41.767228929, -87.581256707)"
12858491,JF433657,10/13/2022 21:30,025XX W MONROE ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,1125,11,27,28,08A,1159465,1899598,2022,1/3/2023 15:46,41.88021748,-87.6899235,"(41.880217478, -87.6899235)"
12859168,JF433636,10/13/2022 19:25,012XX W WILSON AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1913,19,46,3,08A,1167187,1930682,2022,1/3/2023 15:46,41.96535136,-87.66067395,"(41.96535136, -87.660673947)"
12858298,JF433489,10/13/2022 17:50,006XX S STATE ST,460,BATTERY,SIMPLE,CTA BUS,FALSE,FALSE,123,1,4,32,08B,1176452,1897651,2022,1/3/2023 15:46,41.8745084,-87.62760841,"(41.874508398, -87.627608412)"
12858155,JF433122,10/13/2022 11:00,050XX S PAULINA ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,931,9,20,61,08A,1165860,1871343,2022,1/3/2023 15:46,41.80254902,-87.66724643,"(41.802549018, -87.667246428)"
12857968,JF432755,10/13/2022 10:30,024XX N ORCHARD ST,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1935,19,43,7,6,1171200,1916297,2022,1/3/2023 15:46,41.92579099,-87.64634307,"(41.925790994, -87.64634307)"
12858014,JF432850,10/13/2022 9:30,039XX W CHICAGO AVE,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,1112,11,37,23,08B,1149775,1905050,2022,1/3/2023 15:46,41.89537219,-87.72536248,"(41.895372185, -87.725362479)"
12858547,JF432619,10/13/2022 6:20,055XX W CORTEZ ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,1524,15,37,25,14,1139134,1906452,2022,1/3/2023 15:46,41.89941971,-87.76441064,"(41.899419707, -87.764410643)"
12859160,JF434592,10/13/2022 5:00,001XX W 81ST ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,623,6,17,44,6,1176780,1851276,2022,1/3/2023 15:46,41.74724381,-87.627802,"(41.747243811, -87.627801999)"
12857597,JF432501,10/12/2022 22:15,055XX N LINCOLN AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,2011,20,40,4,6,1157929,1936966,2022,1/3/2023 15:46,41.98278937,-87.69454123,"(41.982789367, -87.69454123)"
12857254,JF432253,10/12/2022 18:20,023XX W JACKSON BLVD,810,THEFT,OVER $500,STREET,FALSE,FALSE,1225,12,27,28,6,1160891,1898643,2022,1/3/2023 15:46,41.87756742,-87.68471389,"(41.877567416, -87.684713886)"
12858260,JF433437,10/12/2022 17:00,009XX E 49TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,222,2,4,39,14,1183371,1872719,2022,1/3/2023 15:46,41.80593454,-87.60298366,"(41.805934543, -87.602983657)"
12857584,JF432507,10/12/2022 17:00,075XX S HALSTED ST,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,621,6,17,71,3,1172272,1854914,2022,1/3/2023 15:46,41.7573272,-87.64421375,"(41.757327195, -87.644213747)"
12857809,JF432800,10/12/2022 14:00,098XX S FOREST AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,511,5,9,49,6,1179984,1839817,2022,1/3/2023 15:46,41.71572623,-87.61641147,"(41.715726229, -87.616411472)"
12858020,JF432921,10/12/2022 11:00,036XX W FRANKLIN BLVD,810,THEFT,OVER $500,APARTMENT,FALSE,TRUE,1122,11,27,23,6,1152197,1903092,2022,1/3/2023 15:46,41.8899518,-87.7165187,"(41.889951797, -87.716518699)"
12856511,JF431188,10/12/2022 4:33,040XX W 16TH ST,1020,ARSON,BY FIRE,VACANT LOT / LAND,FALSE,FALSE,1012,10,24,29,9,1149507,1891737,2022,1/3/2023 15:46,41.85884502,-87.72669238,"(41.858845015, -87.726692383)"
12856839,JF431552,10/12/2022 0:00,020XX W SUPERIOR ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1221,12,1,24,6,1162711,1904932,2022,1/3/2023 15:46,41.89478702,-87.67785495,"(41.894787017, -87.677854947)"
12856335,JF431013,10/11/2022 21:20,005XX N WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1215,12,1,24,14,1164300,1903876,2022,1/3/2023 15:46,41.89185581,-87.67204889,"(41.891855813, -87.672048894)"
12858403,JF433117,10/11/2022 21:00,008XX W BUENA AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1915,19,46,3,6,1169871,1928197,2022,1/3/2023 15:46,41.9584742,-87.65087832,"(41.958474197, -87.65087832)"
12856490,JF431083,10/11/2022 19:30,080XX S MARYLAND AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,631,6,8,44,08B,1183295,1851976,2022,1/3/2023 15:46,41.74901562,-87.6039077,"(41.749015615, -87.603907696)"
12856725,JF431347,10/11/2022 18:00,027XX N CICERO AVE,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,2521,25,31,19,08A,1143927,1917601,2022,1/3/2023 15:46,41.92992517,-87.74652561,"(41.929925166, -87.746525605)"
12856573,JF431276,10/11/2022 17:00,046XX S LAWLER AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,814,8,22,56,6,1143471,1873451,2022,1/3/2023 15:46,41.80878047,-87.74930512,"(41.808780473, -87.749305123)"
12857298,JF432095,10/11/2022 13:00,097XX S MARQUETTE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,431,4,10,51,6,1195936,1840940,2022,1/3/2023 15:46,41.7184285,-87.55795144,"(41.718428495, -87.557951435)"
12855251,JF429442,10/10/2022 17:45,005XX W 95TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2223,22,21,73,14,1174412,1841893,2022,1/3/2023 15:46,41.72154857,-87.63675724,"(41.721548571, -87.636757242)"
12854788,JF429236,10/10/2022 15:20,016XX E 50TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,222,2,5,39,14,1187971,1872185,2022,1/3/2023 15:46,41.80436071,-87.58612986,"(41.804360707, -87.586129856)"
12854640,JF428992,10/10/2022 12:00,017XX E 67TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,332,3,5,43,7,1189142,1860906,2022,1/3/2023 15:46,41.77338229,-87.58219664,"(41.773382291, -87.58219664)"
12854661,JF428837,10/10/2022 9:40,029XX N LAKE SHORE DR,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1934,19,44,6,08A,1173784,1919714,2022,1/3/2023 15:46,41.93511017,-87.63674624,"(41.935110172, -87.636746239)"
12854315,JF428627,10/10/2022 3:30,015XX N DAMEN AVE,460,BATTERY,SIMPLE,CTA PLATFORM,FALSE,FALSE,1424,14,1,24,08B,1162780,1910414,2022,1/3/2023 15:46,41.90982859,-87.67744759,"(41.90982859, -87.677447594)"
12854230,JF428525,10/10/2022 1:02,075XX S HAMILTON AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,611,6,18,71,08A,1163198,1854392,2022,1/3/2023 15:46,41.7560894,-87.6774833,"(41.756089399, -87.677483303)"
12855006,JF429473,10/10/2022 0:00,030XX N BROADWAY,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1934,19,44,6,08B,1171726,1920313,2022,1/3/2023 15:46,41.93679949,-87.6442917,"(41.936799488, -87.644291704)"
12858603,JF428445,10/9/2022 22:40,010XX N SPRINGFIELD AVE,031A,ROBBERY,ARMED - HANDGUN,APARTMENT,FALSE,FALSE,1112,11,37,23,3,1150198,1906584,2022,1/3/2023 15:46,41.8995734,-87.72376886,"(41.899573402, -87.723768861)"
12856171,JF428393,10/9/2022 18:10,022XX S ASHLAND AVE,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,1034,10,25,31,08B,1166056,1889235,2022,1/3/2023 15:46,41.85164237,-87.66601793,"(41.851642372, -87.666017927)"
12853949,JF428288,10/9/2022 17:45,025XX W DEVON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2413,24,50,2,7,1158033,1942386,2022,1/3/2023 15:46,41.99765995,-87.69400993,"(41.997659945, -87.694009931)"
12854397,JF428656,10/9/2022 17:20,005XX E 33RD ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,211,2,4,35,6,1180360,1883173,2022,1/3/2023 15:46,41.83469081,-87.61370565,"(41.834690813, -87.613705645)"
12854784,JF429159,10/9/2022 15:00,063XX S LAWLER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,813,8,13,64,6,1143890,1861876,2022,1/3/2023 15:46,41.77700895,-87.74805733,"(41.777008949, -87.748057326)"
12853760,JF427982,10/9/2022 11:25,083XX S DAMEN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,614,6,18,71,6,1164472,1849445,2022,1/3/2023 15:46,41.74248736,-87.6729535,"(41.742487363, -87.672953498)"
12853768,JF428054,10/9/2022 4:00,0000X E 75TH ST,820,THEFT,$500 AND UNDER,BAR OR TAVERN,FALSE,FALSE,623,6,6,69,6,1178240,1855309,2022,1/3/2023 15:46,41.75827785,-87.62233006,"(41.758277853, -87.62233006)"
12853848,JF427392,10/8/2022 23:13,006XX E 92ND PL,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,633,6,9,44,5,1182212,1843784,2022,1/3/2023 15:46,41.72656096,-87.60812913,"(41.726560961, -87.608129133)"
12853503,JF427679,10/8/2022 22:00,007XX E 62ND ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,313,3,20,42,6,1182136,1864060,2022,1/3/2023 15:46,41.78220221,-87.60778116,"(41.782202207, -87.607781157)"
12853799,JF428065,10/8/2022 20:00,051XX S CARPENTER ST,810,THEFT,OVER $500,ALLEY,FALSE,FALSE,934,9,20,61,6,1170186,1870711,2022,1/3/2023 15:46,41.80072165,-87.65139952,"(41.800721652, -87.651399515)"
12853180,JF427272,10/8/2022 19:30,037XX W 86TH PL,880,THEFT,PURSE-SNATCHING,SIDEWALK,FALSE,FALSE,834,8,18,70,6,1152912,1846950,2022,1/3/2023 15:46,41.73587628,-87.7153755,"(41.735876283, -87.715375504)"
12853151,JF427204,10/8/2022 19:00,126XX S UNION AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,523,5,34,53,6,1173951,1821127,2022,1/3/2023 15:46,41.66457371,-87.63905887,"(41.664573705, -87.639058866)"
12853517,JF427707,10/8/2022 19:00,090XX S STEWART AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,634,6,21,49,7,1175447,1844700,2022,1/3/2023 15:46,41.72922831,-87.63288258,"(41.729228313, -87.63288258)"
12853106,JF427198,10/8/2022 18:30,0000X E OHIO ST,810,THEFT,OVER $500,HOTEL / MOTEL,FALSE,FALSE,1834,18,42,8,6,1176468,1904201,2022,1/3/2023 15:46,41.8924816,-87.62735183,"(41.8924816, -87.627351831)"
12852966,JF427061,10/8/2022 16:40,063XX N CLAREMONT AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,2413,24,50,2,08B,1159496,1942115,2022,1/3/2023 15:46,41.99688621,-87.68863559,"(41.996886211, -87.688635592)"
12853022,JF427064,10/8/2022 16:28,030XX N HALSTED ST,860,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,1933,19,44,6,6,1170394,1920533,2022,1/3/2023 15:46,41.93743245,-87.64918049,"(41.93743245, -87.649180491)"
12853484,JF427672,10/8/2022 15:00,059XX W SUPERIOR ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1511,15,29,25,7,1136707,1904395,2022,1/3/2023 15:46,41.89381886,-87.77337444,"(41.893818858, -87.77337444)"
12853556,JF427790,10/8/2022 8:30,041XX S INDIANA AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,213,2,3,38,6,1178285,1877633,2022,1/3/2023 15:46,41.81953607,-87.62148774,"(41.819536065, -87.62148774)"
12852951,JF427020,10/8/2022 8:00,058XX N MANTON AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1622,16,39,11,6,1137198,1938492,2022,1/3/2023 15:46,41.98737578,-87.77074928,"(41.987375781, -87.770749279)"
12853870,JF428120,10/8/2022 4:30,071XX W HIGGINS AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1613,16,41,10,08B,1127782,1936028,2022,1/3/2023 15:46,41.98077882,-87.80543826,"(41.980778822, -87.80543826)"
12853581,JF426738,10/8/2022 2:15,017XX W ARMITAGE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1432,14,32,22,6,1164266,1913355,2022,1/3/2023 15:46,41.91786758,-87.67190534,"(41.917867579, -87.671905339)"
12852425,JF426360,10/8/2022 2:03,029XX N WISNER AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1412,14,35,21,6,1153000,1919373,2022,1/3/2023 15:46,41.93461244,-87.71313736,"(41.934612439, -87.71313736)"
12852610,JF426540,10/8/2022 1:30,059XX N AUSTIN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1622,16,45,11,6,1135248,1939315,2022,1/3/2023 15:46,41.98966909,-87.77790195,"(41.989669087, -87.777901946)"
12857976,JF426688,10/8/2022 1:00,009XX W SHERIDAN RD,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1923,19,46,6,6,1169411,1926090,2022,1/3/2023 15:46,41.95270255,-87.65263097,"(41.952702554, -87.65263097)"
12852317,JF426207,10/7/2022 22:40,039XX W MONROE ST,2027,NARCOTICS,POSSESS - CRACK,ALLEY,TRUE,FALSE,1122,11,28,26,18,1150219,1899373,2022,1/3/2023 15:46,41.87978525,-87.72387985,"(41.879785247, -87.723879847)"
12852349,JF426226,10/7/2022 22:00,081XX W HIGGINS RD,820,THEFT,$500 AND UNDER,RESTAURANT,FALSE,FALSE,1614,16,41,10,6,1121366,1937642,2022,1/3/2023 15:46,41.9853139,-87.82899976,"(41.985313896, -87.828999755)"
12852406,JF426165,10/7/2022 21:14,052XX S NAGLE AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,811,8,14,56,08B,1134267,1869042,2022,1/3/2023 15:46,41.79684808,-87.78316768,"(41.796848076, -87.783167681)"
12852237,JF426086,10/7/2022 19:30,078XX S HERMITAGE AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,611,6,17,71,08B,1166042,1852730,2022,1/3/2023 15:46,41.75146867,-87.66710779,"(41.751468669, -87.667107794)"
12852095,JF426046,10/7/2022 16:15,006XX N STATE ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1832,18,42,8,08A,1176258,1904560,2022,1/3/2023 15:46,41.89347145,-87.62811223,"(41.893471454, -87.628112229)"
12852541,JF425634,10/7/2022 13:30,008XX W NORTH AVE,460,BATTERY,SIMPLE,DEPARTMENT STORE,FALSE,FALSE,1813,18,43,7,08B,1170509,1910868,2022,1/3/2023 15:46,41.9109087,-87.64904131,"(41.910908703, -87.649041307)"
12851440,JF425000,10/7/2022 3:20,015XX N CLYBOURN AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1822,18,27,8,08B,1171039,1910245,2022,1/3/2023 15:46,41.90918754,-87.6471126,"(41.909187537, -87.647112599)"
12851350,JF424963,10/7/2022 0:49,0000X W 69TH ST,031A,ROBBERY,ARMED - HANDGUN,CTA BUS,FALSE,FALSE,731,7,6,69,3,1177279,1859276,2022,1/3/2023 15:46,41.76918549,-87.62573242,"(41.769185486, -87.625732415)"
12851190,JF424813,10/6/2022 19:00,004XX N UNION AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1214,12,27,24,6,1171446,1903453,2022,1/3/2023 15:46,41.89054095,-87.64581743,"(41.890540948, -87.645817429)"
12851105,JF424782,10/6/2022 17:00,026XX N HALSTED ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1935,19,43,7,6,1170483,1917927,2022,1/3/2023 15:46,41.93027952,-87.64892986,"(41.930279523, -87.64892986)"
12850781,JF424201,10/6/2022 13:05,107XX S WABASH AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,513,5,9,49,08A,1178481,1833692,2022,1/3/2023 15:46,41.6989526,-87.62210143,"(41.698952603, -87.622101432)"
12850743,JF424187,10/6/2022 12:10,005XX E 115TH ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,531,5,9,50,08B,1182118,1828807,2022,1/3/2023 15:46,41.68546431,-87.60893496,"(41.685464309, -87.608934961)"
12850534,JF423893,10/6/2022 8:30,024XX N SHEFFIELD AVE,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,1932,19,43,7,08B,1169221,1916218,2022,1/3/2023 15:46,41.92561749,-87.65361716,"(41.925617492, -87.653617159)"
12850580,JF424057,10/6/2022 8:00,100XX S ABERDEEN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2232,22,34,73,7,1170756,1838246,2022,1/3/2023 15:46,41.71162106,-87.65025447,"(41.711621058, -87.65025447)"
12850611,JF423863,10/6/2022 7:36,086XX S KOSTNER AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,FALSE,FALSE,834,8,18,70,3,1148597,1846951,2022,1/3/2023 15:46,41.73596296,-87.73118428,"(41.73596296, -87.731184281)"
12850398,JF423820,10/6/2022 5:00,016XX S MORGAN ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1235,12,25,31,6,1170143,1892157,2022,1/3/2023 15:46,41.85957245,-87.65093246,"(41.859572448, -87.650932455)"
12850396,JF423804,10/5/2022 23:59,005XX W KINZIE ST,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1214,12,42,28,6,1172517,1902920,2022,1/3/2023 15:46,41.88905475,-87.64190001,"(41.889054749, -87.641900009)"
12850728,JF424239,10/5/2022 21:00,030XX W BELDEN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1414,14,32,22,6,1155744,1915256,2022,1/3/2023 15:46,41.92326016,-87.7031643,"(41.923260164, -87.703164299)"
12850101,JF423343,10/5/2022 18:00,115XX S YALE AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,522,5,34,53,08B,1176679,1828361,2022,1/3/2023 15:46,41.6843642,-87.62885912,"(41.684364195, -87.628859121)"
12849804,JF423173,10/5/2022 16:30,065XX S WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,725,7,15,67,14,1165468,1861240,2022,1/3/2023 15:46,41.77483345,-87.66897038,"(41.774833453, -87.668970378)"
12850533,JF423984,10/5/2022 15:30,028XX W LUNT AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,2411,24,50,2,6,1156269,1946305,2022,1/3/2023 15:46,42.00844979,-87.70039248,"(42.008449791, -87.700392481)"
12849720,JF422848,10/5/2022 12:40,054XX W QUINCY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1522,15,29,25,14,1140202,1898469,2022,1/3/2023 15:46,41.87749386,-87.76068351,"(41.87749386, -87.760683513)"
12850829,JF424324,10/5/2022 10:00,119XX S STATE ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,532,5,9,53,6,1178397,1825930,2022,1/3/2023 15:46,41.67765444,-87.62264347,"(41.677654444, -87.622643468)"
